agave,0.05,0.1,0.05,6,7,0.1,0.4,18,38
amaranth,0.3,0.3,0,5.5,7.5,0.06,0.6,20,30
artichoke,0.1,0.2,0.2,6.5,8,0.4,0.7,15.4,26.7
barley,0.2,0.3,0.1,5,8.5,0.2,0.5,4,25
bean,0.1,0.2,0.2,6,7.5,0.4,0.65,7,19.5
beetroots,0.2,0.3,0.4,6,7.5,0.3,0.5,7,19.5
broccoli,0.3,0.1,0.2,6,7,0.4,0.7,4,20
brusselsprout,0.3,0.1,0.2,6,7.5,0.4,0.7,7.2,20
cabbage,0.3,0.1,0.1,6,7.5,0.4,0.7,7.2,20
cactusfruit,0,0.1,0.1,5.5,7.5,0,0.4,-30,40
cantaloupe,0.05,0.13,0.13,6,6.8,0.4,0.7,15.4,35
carrots,0.3,0.2,0.1,5.5,7,0.4,0.7,7,22
cassava,0.2,0.1,0.4,4.5,7.5,0.6,0.8,10,32
celery,0.05,0.1,0.1,6,7,0.6,0.8,10,20
coffeebean,0.4,0.1,0.3,4.1,7.5,0.6,0.9,12,25
corn,0.4,0.4,0.1,5.5,7.5,0.3,0.5,12.6,29.5
cotton,0.24,0.11,0.25,6,7,0.2,0.5,15,37
cranberry,0.1,0.15,0.2,4.1,5.5,0.4,0.7,7.2,20
cucumber,0.25,0.3,0.3,5.5,7.5,0.5,0.7,12.6,32.2
eggplant,0.2,0.3,0.3,5.5,7,0.5,0.7,15.4,35
ginger,0.05,0.05,0.05,4.3,7.5,0.4,0.7,13,35
honeydew_melon,0.05,0.13,0.13,6,7.5,0.5,0.7,12.6,29.5
kenaf,0.2,0.1,0.1,4.3,8.2,0.4,0.7,15,25
lettuce,0.1,0.1,0.1,6,7,0.6,0.7,15.5,26.7
oats,0.4,0.15,0.35,4.5,8.6,0.3,0.7,5,26
onion,0.3,0.1,0.1,4.5,8.3,0.3,0.7,10,25
peanut,0.05,0.1,0.1,4.3,8.7,0.6,0.7,20,25
peas,0.05,0.1,0.1,5.5,7.5,0.4,0.7,20,35
pepper,0.05,0.1,0.1,4.3,8.3,0.6,0.7,20,30
pineapple,0.2,0.1,0.2,4.5,6.5,0.6,0.9,12.5,20.9
poppy,0.1,0.3,0.1,6,7.5,0.2,0.6,12.5,30
potatoes,0.38,0.38,0.2,4.5,6,0.4,0.7,7,28
pumpkin,0.2,0.19,0.3,6,6.5,0.3,0.5,15,32.2
radish,0.16,0.2,0,6,7,0.6,0.7,7,20
rice,0.2,0.1,0.2,5.5,7,0.8,1,7,20
rye,0.05,0,0,4.5,8.2,0.4,0.7,4.3,21.3
sorghum,0.4,0.4,0.1,4.3,8,0.6,0.7,7.8,27.8
soybean,0.2,0.2,0.1,5.5,7.8,0.1,0.8,10,27
spinach,0.3,0.1,0.1,6,7.5,0.5,0.7,-9,19
strawberry,0.1,0.1,0.1,5,7.5,0.6,0.7,10,22
sunflower,0.05,0.2,0.1,6,7.5,0.4,0.7,9.5,28
sweetpotato,0.05,0.1,0.1,5.5,6.5,0.4,0.7,18,30
taro,0.1,0.1,0.1,5.5,6.5,0.7,1,22,35
tomato,0.2,0.2,0.2,5.5,7.5,0.3,0.6,15,35
turnip,0.3,0.2,0.1,5.5,7,0.4,0.7,4.4,30
waterchestnut,0.2,0.6,0.8,5.5,7.5,0.8,1,15,25
watermelon,0.3,0.15,0.15,5.5,7,0.5,0.7,15,32.2
wheat,0.3,0.2,0.1,6,7,0.2,0.5,4,25
winter_squash,0.2,0.19,0.3,5.5,6.8,0.3,0.6,15,32.2
yam,0.25,0.05,0.35,5.5,6.5,0.4,0.7,18,35
zucchini,0.2,0.19,0.3,5.8,6.8,0.3,0.6,15,32.2